"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V670","2020-04-30 00:00:00","20.000","352.000","1.100","25.000","0.800","1014.000","","0.000","-99.000","-99.000","-99.000","28.600","","24.400",""
"C0G770","2020-04-30 00:00:00","15.000","0.000","0.200","23.300","0.860","1014.700","","0.000","-99.000","-99.000","-99.000","27.200","","20.900",""
"C0C540","2020-04-30 00:00:00","46.000","203.000","1.000","20.700","0.790","1010.800","","0.000","-99.000","-99.000","-99.000","29.900","","20.700",""
"C0R770","2020-04-30 00:00:00","93.000","66.000","2.700","23.000","0.790","1006.200","","0.000","8.200","69.000","","27.600","","22.000",""
"C0S690","2020-04-30 00:00:00","522.000","25.000","0.800","19.000","0.890","959.500","","1.000","-99.000","-99.000","-99.000","24.300","","18.100",""
"C0Z330","2020-04-30 00:00:00","488.000","126.000","0.400","17.700","0.990","965.400","","0.000","-99.000","-99.000","-99.000","25.900","","15.500",""
"C0R580","2020-04-30 00:00:00","10.000","0.000","0.200","24.400","0.850","1015.100","","0.000","-99.000","-99.000","-99.000","28.200","","22.200",""
"C0S810","2020-04-30 00:00:00","65.000","323.000","2.900","21.400","0.840","1013.400","","0.000","-99.000","-99.000","-99.000","28.400","","19.200",""
"C0V820","2020-04-30 00:00:00","441.000","0.000","0.100","20.400","0.990","969.200","","0.000","-99.000","-99.000","-99.000","30.700","","16.400",""
"C0K490","2020-04-30 00:00:00","91.000","95.000","0.300","20.900","0.860","1005.700","","0.000","-99.000","-99.000","-99.000","29.300","","19.600",""
"C0SA20","2020-04-30 00:00:00","857.000","339.000","1.200","16.000","1.000","922.800","","0.500","-99.000","-99.000","-99.000","18.500","","14.900",""
"CM0140","2020-04-30 00:00:00","26.000","1.000","0.600","22.900","0.730","1016.100","","0.000","-99.000","-99.000","-99.000","25.700","","21.000",""
"C0AC80","2020-04-30 00:00:00","40.000","334.000","0.900","22.100","0.730","1011.400","","0.000","-99.000","-99.000","-99.000","28.200","","21.700",""
"C0M810","2020-04-30 00:00:00","1354.000","192.000","0.500","15.100","0.910","869.500","","0.500","-99.000","-99.000","-99.000","21.000","","13.200",""
"C0I360","2020-04-30 00:00:00","300.000","39.000","3.100","20.700","0.790","981.800","","0.000","-99.000","-99.000","-99.000","29.000","","18.900",""
"C0C620","2020-04-30 00:00:00","19.000","162.000","0.500","19.500","0.870","1012.700","","0.000","-99.000","-99.000","-99.000","29.000","","19.500",""
"C0M850","2020-04-30 00:00:00","695.000","0.000","0.000","18.600","0.990","938.300","","0.000","-99.000","-99.000","-99.000","28.300","","17.100",""
"C0UA20","2020-04-30 00:00:00","2619.000","206.000","3.900","6.000","0.750","-99.000","","0.000","-99.000","-99.000","-99.000","15.800","","4.600",""
"C0F9V0","2020-04-30 00:00:00","525.000","187.000","2.300","21.200","0.700","958.500","","0.000","-99.000","-99.000","-99.000","28.300","","19.500",""
"C0T900","2020-04-30 00:00:00","160.000","0.000","0.000","18.100","0.920","999.200","","0.000","-99.000","-99.000","-99.000","25.500","","17.000",""
"C0K440","2020-04-30 00:00:00","35.000","211.000","0.400","22.100","0.900","1012.600","","0.000","-99.000","-99.000","-99.000","27.200","","20.900",""
"C0Z250","2020-04-30 00:00:00","1124.000","267.000","0.800","14.400","0.990","894.500","","3.500","-99.000","-99.000","-99.000","20.100","","11.300",""
"C0G860","2020-04-30 00:00:00","45.000","85.000","0.300","22.900","0.820","1011.400","","0.000","-99.000","-99.000","-99.000","29.500","","21.600",""
"C0V790","2020-04-30 00:00:00","410.000","0.000","0.100","21.800","0.900","969.500","","0.000","-99.000","-99.000","-99.000","31.800","","19.200",""
"C0V740","2020-04-30 00:00:00","60.000","337.000","0.800","23.300","0.920","1010.700","","0.000","-99.000","-99.000","-99.000","31.500","","20.900",""
"C0Z200","2020-04-30 00:00:00","153.000","0.000","0.000","18.600","0.950","1002.400","","0.500","-99.000","-99.000","-99.000","24.500","","15.000",""
"C0K520","2020-04-30 00:00:00","10.000","0.000","0.000","21.300","0.950","1014.500","","0.000","-99.000","-99.000","-99.000","27.500","","20.500",""
"C0X250","2020-04-30 00:00:00","33.000","161.000","0.500","23.400","0.790","1012.800","","0.000","-99.000","-99.000","-99.000","30.100","","21.400",""
